,property_type,state,lat,lon,area_m2,price_usd
134,apartment,Distrito Federal,19.380937,-99.179545,98,197100.13
135,apartment,Estado de México,19.559799,-99.233795,60,34599.16
136,house,Yucatán,21.072905,-89.65963,127,47417.83
137,house,Distrito Federal,19.367215,-99.222138,180,116173.69
138,house,Puebla,,,320,255529.44
139,house,Puebla,19.044477,-98.328011,326,326733.66
140,house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,210,247626.47
141,house,Veracruz de Ignacio de la Llave,25.572505,-103.425036,330,121178.91
142,house,Chiapas,,,300,94835.67
143,house,Estado de México,19.290517,-99.694921,157,105372.96
144,house,Jalisco,20.788616,-103.435217,156,123813.23
145,apartment,Nuevo León,25.6526883,-100.4122654,101,160866.42
146,house,Nuevo León,25.680067,-100.458626,336,142253.50
147,house,Estado de México,19.305643,-98.901535,120,42159.18
148,house,Estado de México,19.684991,-99.225298,60,37670.83
149,house,Yucatán,21.008295,-89.591019,282,123052.11
150,apartment,Guerrero,16.8572859,-99.9089643,130,104870.96
151,house,San Luis Potosí,22.093321,-100.895958,110,46840.27
152,house,Puebla,23.634501,-102.552788,156,94835.67
153,house,San Luis Potosí,22.1387477,-101.0181525,200,97469.99
154,house,Estado de México,19.428043,-99.227384,309,306529.96
155,house,Hidalgo,20.059217,-98.790423,200,136984.85
156,house,Yucatán,21.292982,-89.603973,100,139652.29
157,house,Morelos,18.903454,-99.056687,145,89567.02
158,house,Distrito Federal,19.411699,-99.166247,120,230874.80
159,house,Morelos,18.89179165,-99.22272205,183,147557.13
160,house,Yucatán,21.0424858,-89.5568382,107,50579.02
161,apartment,Querétaro,20.711874,-100.448934,140,102211.77
162,apartment,Distrito Federal,19.428152,-99.106194,67,79029.72
163,house,Estado de México,19.234822,-99.559659,115,105372.96
164,house,Estado de México,19.558449,-99.22973,180,67965.56
165,house,Chihuahua,28.652079,-106.109581,227,110641.61
166,house,Hidalgo,,,175,80629.43
167,house,Nuevo León,25.707024,-100.21376,250,110667.85
168,house,Aguascalientes,21.878481,-102.332787,215,136490.35
169,house,Veracruz de Ignacio de la Llave,19.155567,-96.13928,165,60589.45
170,house,Hidalgo,20.05687984,-98.76537555,200,68508.67
171,house,Nuevo León,25.634661,-100.295769,242,76413.51
172,apartment,Distrito Federal,19.367931,-99.170262,120,120652.04
173,house,Distrito Federal,19.360526,-99.301674,220,87703.06
174,house,Distrito Federal,19.464398,-99.113317,304,259470.39
175,house,Puebla,19.01195,-98.219383,385,237089.17
176,house,Yucatán,,,110,47154.40
177,apartment,Yucatán,21.2929822,-89.6039725,255,236144.12
178,house,Distrito Federal,19.351396,-99.130999,225,237089.17
179,house,Morelos,18.93409,-99.254997,218,143530.93
180,house,Querétaro,20.6990975,-100.4705682,276,131747.44
181,house,Yucatán,21.030668,-89.599258,100,79029.72
182,house,Sinaloa,,,137,76202.72
183,house,Yucatán,20.996355,-89.583946,201,92223.21
184,house,Puebla,18.983141,-98.265739,135,42149.18
185,house,Estado de México,19.2826098,-99.6556653,90,56387.90
186,house,San Luis Potosí,,,164,89324.76
187,house,Tamaulipas,22.4107891,-97.9342897,176,60603.82
188,house,Tabasco,18.263374,-93.179222,104,39514.86
189,house,Distrito Federal,19.396669,-99.067626,220,110050.31
190,house,Yucatán,21.039522,-89.563911,174,65858.10
191,house,Estado de México,19.545097,-99.21289,233,171306.94
192,apartment,Puebla,19.054064,-98.245911,95,84318.36
193,house,Estado de México,19.62378,-99.199085,153,108007.29
194,house,Sinaloa,23.240411,-106.432565,189,63118.40
195,apartment,Distrito Federal,19.452331,-99.177162,90,73234.21
196,house,Quintana Roo,21.129547,-86.817017,275,173865.39
197,house,Morelos,,,170,57955.13
198,apartment,Distrito Federal,19.342083,-99.0532159,86,90115.25
199,house,Nuevo León,25.702822,-100.304192,148,94594.66
200,apartment,Morelos,,,89,57955.13
201,house,Veracruz de Ignacio de la Llave,19.563358,-96.939697,110,39524.23
202,house,Veracruz de Ignacio de la Llave,19.205341,-96.197784,130,84298.37
203,house,Yucatán,21.0424858,-89.5568382,185,76677.01
204,apartment,Guerrero,16.829584,-99.9083,154,114487.72
205,house,Querétaro,20.726007,-100.442642,273,181811.47
206,house,San Luis Potosí,23.634501,-102.552788,187,94308.80
207,house,Distrito Federal,19.395069,-99.204927,110,84825.23
208,apartment,Distrito Federal,19.400004,-99.16735,94,217911.29
209,house,Tabasco,17.979631,-92.965249,100,65858.10
210,house,Querétaro,20.5887932,-100.3898881,84,49537.03
211,house,Yucatán,21.006756,-89.570984,162,76413.51
212,house,Yucatán,21.013465,-89.591041,239,283558.65
213,house,Chiapas,19.671066,-101.213341,175,92201.34
214,house,Veracruz de Ignacio de la Llave,18.1495073,-94.4422,200,158096.93
215,house,Nuevo León,25.7418083,-100.4057781,211,124501.99
216,house,Yucatán,20.968147,-89.629875,123,41095.45
217,house,Tamaulipas,22.2621259,-97.8238578,141,78502.86
218,house,Veracruz de Ignacio de la Llave,,,100,79029.72
219,house,Jalisco,20.767952,-103.40899,148,96363.57
220,house,Veracruz de Ignacio de la Llave,,,165,68508.67
221,house,Morelos,18.795519,-99.231445,150,67438.69
222,apartment,Distrito Federal,19.449392,-99.138544,70,42676.05
223,apartment,Quintana Roo,21.15640821,-86.84881411,95,68508.67
224,house,Tamaulipas,22.3160889,-97.8884841,165,76940.50
225,apartment,Distrito Federal,19.486255,-99.214043,65,46890.97
